Dataset,Rocket,PF,BOSS,ST,ResNet,HCTE,ITime,CHIEF
Adiac,0.7834,0.7340,0.7647,0.7826,0.8289,0.8107,0.8363,0.7980
ArrowHead,0.8143,0.8754,0.8343,0.7371,0.8446,0.8629,0.8286,0.8229
Beef,0.8333,0.7200,0.8000,0.9000,0.7533,0.9333,0.7000,0.7333
BeetleFly,0.9000,0.8750,0.9000,0.9000,0.8500,0.9500,0.8500,0.9500
BirdChicken,0.9000,0.8650,0.9500,0.8000,0.8850,0.8500,0.9500,0.9000
CBF,1.0,0.9933,0.9978,0.9744,0.9950,0.9989,0.9989,0.9978
Car,0.8467,0.8467,0.8333,0.9167,0.9250,0.8667,0.9000,0.8500
ChlorineConcentration,0.8145,0.6339,0.6609,0.6997,0.8436,0.7120,0.8753,0.7206
CinCECGTorso,0.8362,0.9343,0.8870,0.9543,0.8261,0.9964,0.8514,0.9826
Coffee,1.0,1.0,1.0,0.9643,1.0,1.0,1.0,1.0
Computers,0.7612,0.6444,0.7560,0.7360,0.8148,0.7600,0.8120,0.7120
CricketX,0.8195,0.8021,0.7359,0.7718,0.7913,0.8231,0.8667,0.7974
CricketY,0.8523,0.7938,0.7538,0.7795,0.8033,0.8487,0.8513,0.8026
CricketZ,0.8559,0.8010,0.7462,0.7872,0.8115,0.8308,0.8590,0.8359
DiatomSizeReduction,0.9699,0.9657,0.9314,0.9248,0.3013,0.9412,0.9314,0.9771
DistalPhalanxOutlineAgeGroup,0.7590,0.7309,0.7482,0.7698,0.7165,0.7626,0.7266,0.7410
DistalPhalanxOutlineCorrect,0.7696,0.7928,0.7283,0.7754,0.7710,0.7717,0.7935,0.7862
DistalPhalanxTW,0.7187,0.6597,0.6763,0.6619,0.6647,0.6835,0.6763,0.6835
ECG200,0.9060,0.9090,0.8700,0.8300,0.8740,0.8500,0.9100,0.8600
ECG5000,0.9472,0.9365,0.9413,0.9438,0.9342,0.9462,0.9409,0.9458
ECGFiveDays,1.0,0.8492,1.0,0.9837,0.9748,1.0,1.0,1.0
Earthquakes,0.7482,0.7540,0.7482,0.7410,0.7115,0.7482,0.7410,0.7482
ElectricDevices,0.7294,0.7060,0.7992,0.7470,0.7291,0.7703,0.7227,0.7524
FaceAll,0.9465,0.8938,0.7817,0.7787,0.8388,0.8030,0.8041,0.8426
FaceFour,0.9773,0.9739,1.0,0.8523,0.9545,0.9545,0.9659,1.0
FacesUCR,0.9614,0.9459,0.9571,0.9059,0.9547,0.9629,0.9732,0.9649
FiftyWords,0.8303,0.8314,0.7055,0.7055,0.7396,0.8088,0.8418,0.8462
Fish,0.9794,0.9349,0.9886,0.9886,0.9794,0.9886,0.9829,0.9943
FordA,0.9444,0.8546,0.9295,0.9712,0.9205,0.9644,0.9483,0.9470
FordB,0.8051,0.7149,0.7111,0.8074,0.9131,0.8235,0.9365,0.8321
GunPoint,1.0,0.9973,1.0,1.0,0.9907,1.0,1.0,1.0
Ham,0.7257,0.6600,0.6667,0.6857,0.7571,0.6667,0.7143,0.7143
HandOutlines,0.9424,0.9214,0.9027,0.9324,0.9111,0.9324,0.9595,0.9297
Haptics,0.5240,0.4445,0.4610,0.5227,0.5188,0.5195,0.5682,0.5162
Herring,0.6922,0.5797,0.5469,0.6719,0.6188,0.6875,0.7031,0.5781
InlineSkate,0.4569,0.5418,0.5164,0.3727,0.3731,0.5000,0.4855,0.5364
