,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_p,range_q,method,len_method
0,0.11057692307692307,14338.87809920311,2.5650100708007812,14297.139232873917,38.604044914245605,0.5550005435943604,PigAirwayPressure,ACF&PACF: p=0 q=0,0,0,Rsastmf,ACF&PACF
1,0.9278846153846154,14367.693658590317,3.1427054405212402,14325.4786734581,38.50079965591431,0.5560579299926758,PigAirwayPressure,ACF&PACF: p=0 q=0,0,0,DictRsast,ACF&PACF
2,0.1201923076923077,15382.811676740646,3.191314697265625,15340.020274877548,39.02033853530884,0.5491266250610352,PigAirwayPressure,ACF&PACF: p=0 q=0.1,0,0.1,Rsastmf,ACF&PACF
3,0.9182692307692307,12407.13160610199,3.1341054439544678,12364.466624736786,38.94758343696594,0.5467393398284912,PigAirwayPressure,ACF&PACF: p=0 q=0.1,0,0.1,DictRsast,ACF&PACF
4,0.11057692307692307,15131.191529750824,3.149923086166382,15088.534384965897,38.91355586051941,0.5451257228851318,PigAirwayPressure,ACF&PACF: p=0 q=0.2,0,0.2,Rsastmf,ACF&PACF
5,0.8653846153846154,14407.853920221329,3.127014398574829,14365.664336919785,38.487982511520386,0.5412135124206543,PigAirwayPressure,ACF&PACF: p=0 q=0.2,0,0.2,DictRsast,ACF&PACF
6,0.11057692307692307,14706.062309503555,3.166073799133301,14662.83422446251,39.47430229187012,0.5546088218688965,PigAirwayPressure,ACF&PACF: p=0 q=0.3,0,0.3,Rsastmf,ACF&PACF
7,0.7980769230769231,12311.276152610779,3.2114222049713135,12267.581119775772,39.895808935165405,0.548377513885498,PigAirwayPressure,ACF&PACF: p=0 q=0.3,0,0.3,DictRsast,ACF&PACF
8,0.1201923076923077,14264.77351975441,3.142995595932007,14221.145118713379,39.885902643203735,0.5522539615631104,PigAirwayPressure,ACF&PACF: p=0.1 q=0.1,0.1,0.1,Rsastmf,ACF&PACF
9,0.7740384615384616,15400.852325439453,3.1756083965301514,15358.07957983017,38.994815826416016,0.5512807369232178,PigAirwayPressure,ACF&PACF: p=0.1 q=0.1,0.1,0.1,DictRsast,ACF&PACF
10,0.1201923076923077,15741.251919984818,3.1468915939331055,15697.43858408928,40.06972360610962,0.5491087436676025,PigAirwayPressure,ACF&PACF: p=0.1 q=0.2,0.1,0.2,Rsastmf,ACF&PACF
11,0.6923076923076923,14779.534513235092,3.154420852661133,14736.873084545135,38.92409372329712,0.5496912002563477,PigAirwayPressure,ACF&PACF: p=0.1 q=0.2,0.1,0.2,DictRsast,ACF&PACF
12,0.10576923076923077,16343.182489156723,3.1361279487609863,16300.469372749329,39.00232982635498,0.5393474102020264,PigAirwayPressure,ACF&PACF: p=0.1 q=0.3,0.1,0.3,Rsastmf,ACF&PACF
13,0.5432692307692307,16647.121699810028,3.1577112674713135,16603.674407482147,39.709312438964844,0.5499153137207031,PigAirwayPressure,ACF&PACF: p=0.1 q=0.3,0.1,0.3,DictRsast,ACF&PACF
14,0.1201923076923077,14348.064100265503,3.167463541030884,14304.457544088364,39.85989308357239,0.5415935516357422,PigAirwayPressure,ACF&PACF: p=0.2 q=0.2,0.2,0.2,Rsastmf,ACF&PACF
15,0.5817307692307693,15943.651906728745,3.142521381378174,15900.107345342636,39.81627106666565,0.5492773056030273,PigAirwayPressure,ACF&PACF: p=0.2 q=0.2,0.2,0.2,DictRsast,ACF&PACF
16,0.11057692307692307,13849.937088012695,3.1393227577209473,13806.911465406418,39.29963278770447,0.5450108051300049,PigAirwayPressure,ACF&PACF: p=0.2 q=0.3,0.2,0.3,Rsastmf,ACF&PACF
17,0.44711538461538464,13619.626823663712,3.130441427230835,13576.525562047958,39.39382243156433,0.5433320999145508,PigAirwayPressure,ACF&PACF: p=0.2 q=0.3,0.2,0.3,DictRsast,ACF&PACF
18,0.11057692307692307,13581.005326747894,3.1352274417877197,13537.699290037155,39.58523225784302,0.5482375621795654,PigAirwayPressure,ACF&PACF: p=0.3 q=0.3,0.3,0.3,Rsastmf,ACF&PACF
19,0.40865384615384615,13021.667398691177,3.129310131072998,12978.169207811356,39.887529134750366,0.44510340690612793,PigAirwayPressure,ACF&PACF: p=0.3 q=0.3,0.3,0.3,DictRsast,ACF&PACF
20,0.07211538461538461,14609.504593610764,3.151728391647339,14604.755430221558,1.5404713153839111,0.014339208602905273,PigAirwayPressure,PACF: p=0 q=0,0,0,Rsastmf,PACF
21,0.08653846153846154,15812.492023706436,3.0584611892700195,15807.860105991364,1.5207314491271973,0.0164639949798584,PigAirwayPressure,PACF: p=0 q=0,0,0,DictRsast,PACF
22,0.0625,16280.9191031456,2.792447328567505,16276.78167128563,1.3292138576507568,0.014274835586547852,PigAirwayPressure,PACF: p=0 q=0.1,0,0.1,Rsastmf,PACF
23,0.1201923076923077,15613.105762958527,2.509481906890869,15609.157979011536,1.420109748840332,0.016939401626586914,PigAirwayPressure,PACF: p=0 q=0.1,0,0.1,DictRsast,PACF
24,0.052884615384615384,16081.503696203232,2.352792978286743,16077.576300621033,1.5547771453857422,0.018541574478149414,PigAirwayPressure,PACF: p=0 q=0.2,0,0.2,Rsastmf,PACF
25,0.1346153846153846,16082.58631324768,2.4837839603424072,16078.484764099121,1.5989232063293457,0.017581701278686523,PigAirwayPressure,PACF: p=0 q=0.2,0,0.2,DictRsast,PACF
26,0.0673076923076923,16351.752026557922,2.9319324493408203,16347.278280973434,1.5221364498138428,0.0182039737701416,PigAirwayPressure,PACF: p=0 q=0.3,0,0.3,Rsastmf,PACF
27,0.125,13981.133931875229,2.8985626697540283,13976.827868461609,1.3907933235168457,0.015207290649414062,PigAirwayPressure,PACF: p=0 q=0.3,0,0.3,DictRsast,PACF
28,0.04807692307692308,15116.188267469406,2.903748035430908,15111.724947929382,1.5402336120605469,0.01764202117919922,PigAirwayPressure,PACF: p=0.1 q=0.1,0.1,0.1,Rsastmf,PACF
29,0.11057692307692307,15643.610064029694,2.867304801940918,15639.36796450615,1.3580584526062012,0.015215396881103516,PigAirwayPressure,PACF: p=0.1 q=0.1,0.1,0.1,DictRsast,PACF
30,0.0625,15227.172933578491,2.804302930831909,15222.77190232277,1.5769293308258057,0.018337488174438477,PigAirwayPressure,PACF: p=0.1 q=0.2,0.1,0.2,Rsastmf,PACF
31,0.11538461538461539,16360.831017971039,2.288388967514038,16357.108478784561,1.4173669815063477,0.015391111373901367,PigAirwayPressure,PACF: p=0.1 q=0.2,0.1,0.2,DictRsast,PACF
32,0.07692307692307693,13944.319173336029,2.9308505058288574,13939.65854048729,1.7110412120819092,0.017186641693115234,PigAirwayPressure,PACF: p=0.1 q=0.3,0.1,0.3,Rsastmf,PACF
33,0.1201923076923077,15051.130158662796,3.05423903465271,15046.772403240204,1.2890594005584717,0.012962102890014648,PigAirwayPressure,PACF: p=0.1 q=0.3,0.1,0.3,DictRsast,PACF
34,0.07211538461538461,15864.487998485565,2.8045592308044434,15860.357758760452,1.3097457885742188,0.01440572738647461,PigAirwayPressure,PACF: p=0.2 q=0.2,0.2,0.2,Rsastmf,PACF
35,0.11538461538461539,15524.227850437164,2.778733491897583,15520.108378648758,1.3222100734710693,0.01712942123413086,PigAirwayPressure,PACF: p=0.2 q=0.2,0.2,0.2,DictRsast,PACF
36,0.07211538461538461,14672.643874883652,2.9319605827331543,14668.158472299576,1.537384033203125,0.014423131942749023,PigAirwayPressure,PACF: p=0.2 q=0.3,0.2,0.3,Rsastmf,PACF
37,0.11538461538461539,15801.32086443901,2.9770395755767822,15796.684710741043,1.6410291194915771,0.01662445068359375,PigAirwayPressure,PACF: p=0.2 q=0.3,0.2,0.3,DictRsast,PACF
38,0.057692307692307696,15769.757827758789,2.952033519744873,15765.365416526794,1.420316219329834,0.018551349639892578,PigAirwayPressure,PACF: p=0.3 q=0.3,0.3,0.3,Rsastmf,PACF
39,0.11538461538461539,14319.683806657791,2.8286657333374023,14315.264960765839,1.5710506439208984,0.017726421356201172,PigAirwayPressure,PACF: p=0.3 q=0.3,0.3,0.3,DictRsast,PACF
40,0.11538461538461539,47.410162687301636,2.910619020462036,4.959653854370117,38.98484992980957,0.5529525279998779,PigAirwayPressure,ACF: p=0 q=0,0,0,Rsastmf,ACF
41,0.9278846153846154,46.99470138549805,3.1588144302368164,4.941328048706055,38.339690923690796,0.5522115230560303,PigAirwayPressure,ACF: p=0 q=0,0,0,DictRsast,ACF
42,0.11057692307692307,48.70215129852295,3.2362852096557617,4.948936223983765,39.880744218826294,0.5555810928344727,PigAirwayPressure,ACF: p=0 q=0.1,0,0.1,Rsastmf,ACF
43,0.9038461538461539,47.28998923301697,3.1594483852386475,4.92486572265625,38.6221284866333,0.5572547912597656,PigAirwayPressure,ACF: p=0 q=0.1,0,0.1,DictRsast,ACF
44,0.11538461538461539,48.72764801979065,3.132714033126831,5.008023738861084,39.97805881500244,0.5495359897613525,PigAirwayPressure,ACF: p=0 q=0.2,0,0.2,Rsastmf,ACF
45,0.8653846153846154,47.64821004867554,3.1613638401031494,4.910568714141846,39.007052183151245,0.5444731712341309,PigAirwayPressure,ACF: p=0 q=0.2,0,0.2,DictRsast,ACF
